guest,ep,bo,BO_rate,lm_weight,sig
Intercept,0,0,0,0.09,
Paul F. Tompkins,137,49,0.358,-0.125,
James Adomian,52,9,0.173,0.368,
Lauren Lapkus,43,16,0.372,-0.26,
Neil Campbell,36,9,0.25,0.238,
Nick Kroll,36,17,0.472,-0.243,
Jason Mantzoukas,33,22,0.667,0.339,
Andy Daly,29,16,0.552,-0.284,
Jon Daly,27,3,0.111,-0.145,
Horatio Sanz,25,4,0.16,-0.551,
Seth Morris,23,2,0.087,0.721,
Ben Schwartz,22,10,0.455,NA,
Jon Gabrus,22,6,0.273,-0.168,
Matt Besser,21,2,0.095,0.575,
Paul Rust,20,5,0.25,0.109,
Doug Benson,19,2,0.105,-0.205,
Drew Tarver,19,5,0.263,NA,
Jessica St. Clair,19,7,0.368,0.258,
Mike Hanford,19,6,0.316,-0.031,
Harris Wittels,18,6,0.333,0.033,
Brett Gelman,17,3,0.176,NA,
Mary Holland,17,4,0.235,-0.112,
Reggie Watts,17,2,0.118,0.149,
Brendon Small,16,2,0.125,-1.113,
Paul Scheer,15,3,0.2,0.761,
Weird Al Yankovic,15,2,0.133,0.004,
Will Hines,15,2,0.133,0.628,
Bob Odenkirk,12,1,0.083,-0.157,
Ryan Gaul,12,3,0.25,-0.301,
Tig Notaro,12,3,0.25,0.773,
Joe Wengert,11,1,0.091,0.066,
Lennon Parham,11,4,0.364,-0.176,
Tim Baltz,11,4,0.364,0.261,
Andy Richter,10,2,0.2,-0.349,
Jimmy Pardo,10,1,0.1,NA,
Nick Thune,10,1,0.1,0.3,
Patton Oswalt,10,2,0.2,0.744,
Rob Huebel,10,NA,NA,0.137,
Thomas Lennon,10,4,0.4,1.259,
Adam Scott,9,4,0.444,-0.031,
Chelsea Peretti,9,5,0.556,-0.319,
Gillian Jacobs,9,7,0.778,0.717,
Jeremy Rowley,9,2,0.222,-0.068,
John Gemberling,9,1,0.111,0.262,
Kumail Nanjiani,9,5,0.556,-0.177,
Matt Walsh,9,1,0.111,0.461,
Sarah Silverman,9,1,0.111,0.482,
Todd Glass,9,2,0.222,0.135,
Zach Galifianakis,9,4,0.444,0.292,
Zeke Nicholson,9,3,0.333,-0.244,
Brian Huskey,8,2,0.25,0.398,
David Wain,8,1,0.125,-0.024,
Erin Whitehead,8,1,0.125,0.17,
Jessica McKenna,8,2,0.25,-0.198,
Matt Gourley,8,1,0.125,0.761,
Paul Brittain,8,2,0.25,-0.028,
Tawny Newsome,8,3,0.375,0.256,
Thomas Middleditch,8,8,1,0.2,
Andy Samberg,7,6,0.857,0.437,
Bobby Moynihan,7,5,0.714,-0.207,
Carl Tart,7,2,0.286,-0.409,
Casey Wilson,7,1,0.143,0.315,
Jerry Minor,7,1,0.143,0.102,
Jon Hamm,7,4,0.571,-0.04,
Mookie Blaiklock,7,NA,NA,-0.187,
Natasha Leggero,7,1,0.143,-0.261,
Pamela Murphy,7,1,0.143,0.269,
Tim Heidecker,7,NA,NA,0.017,
Adam Pally,6,2,0.333,0.355,
Allan McLeod,6,NA,NA,0.263,
Betsy Sodaro,6,NA,NA,-0.609,
Cameron Esposito,6,NA,NA,0.141,
Claudia O'Doherty,6,3,0.5,0.413,
Martin Starr,6,3,0.5,-0.741,
Nick Wiger,6,NA,NA,-0.256,
Brendon Walsh,5,1,0.2,0.425,
Caroline Anderson,5,NA,NA,0.284,
Colin Hanks,5,1,0.2,0.052,
Eugene Cordero,5,1,0.2,-0.089,
Howard Kremer,5,1,0.2,-0.461,
Jason Sklar,5,NA,NA,-0,
John Mulaney,5,3,0.6,-0.419,
Jonah Ray,5,1,0.2,NA,
Randy Sklar,5,NA,NA,0.072,
Rob Corddry,5,1,0.2,0.15,
Rory Scovel,5,1,0.2,0.17,
